Company,Category,Product / Brand,Tracked URL,Pricing (baseline Jul 2026),Pricing Model & MOQ,Primary Markets,Distribution,Funding / Investors,Certifications,USP / Positioning,Notes,Prices Seen on Page,Stock Alerts,Last Change Detected,Last Checked,Page Status
nanoSpec Technologies,Reference row (nanoSpec - US),RamanEdge SERS substrates,https://www.nanospec.tech/,See website / internal,Internal - fill from company data,"Biomedical diagnostics, food safety, environmental monitoring (EU/UK/CH research)",Direct,GO-Bio / internal,Internal,Reproducible plasmonic SERS substrates; batch-to-batch consistency (RamanEdge),THIS IS US - reference row. Tracks nanospec.tech so the team sees our own live site alongside competitors.,(none listed),-,,2026-08-05,OK
Silmeco,Direct (EU) - SERS,SERStrate (Gold/Silver/Custom),https://silmeco.com/products/,Not listed publicly (~EUR 70 per research); 50% off or 2x qty first order,Per-unit; customisation (size/metal/wavelength); units 10-100; first-order doubling offer,"Academic + industrial R&D, defence/security, narcotics, explosives, food, gas-phase",Direct global (web) + distributors / OEM partners (incl. HORIBA),"EU H2020 grants (SERSing ~$0.96M, 2020); Danish Tech Challenge",ISO 9001,"Self-described market leader; high uniformity, low background, reproducible high-volume process; 200+ publications",The benchmark to beat - reproducibility is their headline claim too,(none listed),-,,2026-08-05,OK
SERSitive,Direct (EU) - SERS,S- / Premium- substrates,https://sersitive.eu/shop/,S-Silver EUR 23 / S-AgAu EUR 28 / Premium-Silver EUR 50 / Premium-AgAu EUR 60 / Custom from EUR 35,Per-substrate; MOQ ~2 packs (10 chips); 96-well plate format,"Pharma, forensics, border/security, medicine, life science, biosensing",Direct + distributors (Amerigo Scientific US/MX; Aurora Pro Sci.),Polish NCBR grant (PBS2/A1/8/2013),Not stated (verify),Aggressive price + hands-on technical support; hydrophilic/hydrophobic options,Closest price competitor (entry ~EUR 23); competes on cost + service,€0.00; €23.00; €28.00; €50.00; €60.00; €35.00,-,,2026-08-05,OK
Nikalyte,Direct (UK) - SERS,Gold & Silver SERS substrates,https://www.nikalyte.com/sers-substrates-new/,Not on page (~GBP 5-6 per research),Packs of 5; online MOQ 5 packs; quotes from 10 packs; >1000 direct,"Narcotics, forensics, healthcare, pharma, environmental, food safety, first responders, PFAS",Direct e-commerce + distributors (Aurora Pro Sci.); Wasatch Photonics partnership,Not public,Not stated,"Contamination-free vacuum nanoparticles, no drying, field-ready, low cost",Low-cost field player actively pushing into PFAS/environmental,£0.00,-,,2026-08-05,OK — minor edits
CODIXX (senSERS),Direct (DE) - SERS,senSERS,https://www.codixx.de/en/,~EUR 60/substrate (research),Packs of 4 / 25 / 49 (4x4),"Analytical R&D, sensing applications","Distributors (Elliot Scientific UK, Te Lintelo NL) + DigiKey (US)",Privately held,Not stated,"Ag nanoparticles embedded in glass via ion-exchange = robust, long shelf-life",German peer; SERS is side-line to colorPol polarizer business,(none listed),-,,2026-08-05,OK
HORIBA,Instrument vendor,SERS substrates (Silmeco-based),https://www.horiba.com/usa/scientific/products/detail/action/show/Product/sers-substrates-1-6574/,On request (RFI form),Quote-based; bundled with Raman systems,"Pharma, biotech, food, research",Global direct + distributors; integrated with HORIBA Raman instruments,Public company (TSE:6856),Corporate ISO suite,One-stop Raman vendor: substrate + instrument + service + global brand,Controls the channel; resells Silmeco - potential OEM partner rather than head-to-head,(none listed),-,,2026-08-05,OK
Thorlabs (RCT4M),Instrument vendor,RCT4M gold substrate,https://www.thorlabs.com/thorproduct.cfm?partnumber=RCT4M,USD 48.15 single / ~214 5-pack (research),Single or 5-pack (RCT4M-P5); OEM custom volume,Lab + portable Raman users across photonics customer base,Direct global catalog + OEM,Privately held,Corporate quality systems,Single-vendor convenience + enormous photonics customer base,One token SERS SKU in a vast catalog; beatable on specialisation,(none listed),discontinued,2026-07-24,2026-08-05,OK
Metrohm m-oem (P-SERS),Instrument vendor,P-SERS strips (Au/Ag),https://m-oem.myshopify.com/pages/sers-substrates,Price on request; free sample program,Kits + strips + colloids; OEM; 25-5000 pc packs via metrohm.com,"Forensics, food safety; Metrohm handheld Raman users (MIRA, i-Raman)",Global Metrohm network + m-oem webshop,Foundation-owned (Metrohm),Corporate quality systems,"Patented low-cost inkjet strips, low batch-to-batch variability, tied to handheld ecosystem",Active line (NOT discontinued); direct competitor on strip-format SERS,(none listed),-,2026-08-04,2026-08-05,OK
Ocean Optics,Direct (US) - SERS,RAM-SERS-LP-1 / MS-1 / MS-5,https://www.oceanoptics.com/accessories/sampling-accessories/sers-substrates/,Quote-based (~EUR 12/slide per V1 research),Per-slide (4 serialised chips); quote request,"Explosives, narcotics, food/melamine, anti-counterfeit, biological",Direct + global distributors; bundled with Ocean Raman,"Public parent (Halma plc, LSE:HLMA)",Corporate quality systems,"Affordable, mass-produced, long shelf-life (8 months); heat-sink design",CONFIRMED ACTIVE Jul 2026 (V1 wrongly flagged discontinued); low-price well-distributed US rival,(none listed),-,,2026-08-05,OK
Nefer Ka,Direct (US) - SERS,Au nano-cap substrates,https://neferkallc.com/sers-substrates/,USD 35 / 85 single; USD 150 / 350 5-packs,Packs of 5 (5mm/10mm); US-only shipping,"Chemical/biological sensing, pharma, environmental, forensic/security",Direct (web) + FindLight marketplace; US only,The Engine (MIT),Not stated,Fluorescence-quenching nano-caps + patented scalable process,ALL 4 PRODUCTS SOLD OUT at baseline - watch for restock or wind-down,(none listed),-,,2026-08-05,OK — minor edits
